Name,Artist,Genre,Energy,Valence,Danceability,Mood
Just my imagination,The cranberries,Indie guitar pop,0.81,0.52,0.88,sad
Jaime y Laura,Alaska,Movida Madrile�a,0.67,0.29,0.34,energetic
Human,The Killers,Rock,0.88,0.96,0.67,happy
Animal instinct,The cranberries,Indie guitar pop,0.39,0.84,0.41,sad
Take it easy ,Eagles,Rock,0.29,0.3,0.67,sad
Iris,The Goo Goo Dolls,Indie guitar pop,0.75,0.37,0.86,sad
Otherside,Red Hot Chili Peppers,Rock,0.26,0.18,0.92,sad
Under the bridge,Red Hot Chili Peppers,Rock,0.68,0.98,0.55,energetic
Queen Song 81,Queen,Pop / Mamarracheo,0.43,0.21,0.41,sad
Queen Song 82,Queen,Pop / Mamarracheo,0.97,0.25,0.91,energetic
Dreams,Fleetwood Mac,Indie guitar pop,0.34,0.39,0.31,happy
Ritmo de garaje,Loquillo,Movida Madrile�a,0.57,0.25,0.67,energetic
Read my mind,The Killers,Rock,0.95,1,0.28,happy
The man who sold the world,Nirvana,Rock,0.87,0.88,0.43,happy
Rock and roll Star,Loquillo,Movida Madrile�a,0.43,0.47,0.48,happy
Enamorado de la moda juvenil ,Radio Futura,Movida Madrile�a,0.34,0.33,0.94,
Let down ,Radiohead,Rock,0.62,0.25,0.33,
Under Pressure,Queen,Rock,0.44,0.39,0.79,
Beautiful day,U2,Rock,0.94,0.42,0.8,energetic
Perlas ensangrentadas,Alaska,Movida Madrile�a,0.46,0.81,0.57,relaxed
Sunday bloody sunday,U2,Rock,0.86,0.45,0.43,energetic
Queen Song 107,Queen,Rock,0.39,0.93,0.24,relaxed
Mi novio es un zombie,Alaska,Movida Madrile�a,0.93,0.25,0.36,energetic
Pride,U2,Rock,0.51,0.65,0.93,relaxed
New year's day ,U2,Rock,0.78,0.73,0.45,happy
The chain,Fleetwood Mac,Indie guitar pop,0.38,0.67,0.87,happy
When the streets have no name ,Fleetwood Mac,Rock,0.58,0.65,0.52,relaxed
Everywhere,Fleetwood Mac,Indie guitar pop,0.72,0.98,0.72,happy
Snow,Fleetwood Mac,Rock,0.72,0.73,0.51,happy
Queen Song 120,Fleetwood Mac,Pop / Mamarracheo,0.25,0.87,0.26,relaxed
Queen Song 122,Fleetwood Mac,Pop / Mamarracheo,0.4,0.62,0.36,relaxed
Inbetween days,Fleetwood Mac,Rock,0.98,0.16,0.3,energetic
Stuck in a moment you can't get out of,Fleetwood Mac,Rock,0.89,0.54,0.81,energetic
Best of you ,Fleetwood Mac,Rock,0.5,0.56,0.73,happy
Queen Song 133,Fleetwood Mac,Rock,0.21,0.91,0.81,relaxed
Walk,Fleetwood Mac,Rock,0.57,0.73,0.96,energetic
El rompeolas,Fleetwood Mac,Movida Madrile�a,0.46,0.71,0.35,happy
Another one bits the dust ,Fleetwood Mac,Rock,0.9,0.65,0.28,happy
El ritmo del garaje,Fleetwood Mac,Movida Madrile�a,0.23,0.52,0.23,happy
Rey del glam ,Fleetwood Mac,Movida Madrile�a,0.97,0.51,0.65,energetic
Absolutamente ,Fleetwood Mac,Movida Madrile�a,0.67,0.4,0.58,
Ni t� ni nadie,Fleetwood Mac,Movida Madrile�a,0.87,0.78,0.8,
Un hombre de verdad,Fleetwood Mac,Movida Madrile�a,0.56,0.15,0.4,
We are the champions,Fleetwood Mac,Rock,0.44,0.39,0.79,
Somebody to love,Fleetwood Mac,Rock,0.87,0.69,0.69,
Bleed it out,Fleetwood Mac,Rock,0.39,0.59,0.38,happy
One more light,Fleetwood Mac,Rock,0.89,0.96,0.59,sad
Lying for you,Fleetwood Mac,Rock,0.31,0.42,0.59,energetic
Maquillaje,Fleetwood Mac,Movida Madrile�a,,,,
Un a�o m�s,Fleetwood Mac,Movida Madrile�a,,,,sad
Me col� en una fiesta,Fleetwood Mac,Movida Madrile�a,,,,
No es serio este cementerio ,Fleetwood Mac,Movida Madrile�a,,,,sad
Cruz de navajas ,Fleetwood Mac,Movida Madrile�a,,,,
Escuela de calor ,Fleetwood Mac,Movida Madrile�a,,,,
Me cuesta tanto olvidarte ,Fleetwood Mac,Movida Madrile�a,,,,sad
Runaways,Fleetwood Mac,Rock,0.3,0.48,0.9,sad
Go your own way ,Fleetwood Mac,Indie guitar pop,0.76,0.58,0.48,happy
Sex on fire,Kings of leon,Indie guitar pop,0.22,0.68,0.3,sad/relax
Use somebody,Kings of leon,Indie guitar pop,0.73,0.47,0.26,sad/relax
Dakota,The smashing pumpkings,Indie guitar pop,0.61,0.29,0.3,sad/relax
1979,The smashing pumpkings,Indie guitar pop,0.81,0.52,0.88,sad/relax
Disarm,The smashing pumpkings,Indie guitar pop,0.39,0.84,0.41,sad/relax
Today,The smashing pumpkings,Indie guitar pop,0.75,0.37,0.86,sad/relax
Sirius,The Alan Parsons Project,Indie guitar pop,0.34,0.39,0.31,relaxed
Eye in the sky,The Alan Parsons Project,Indie guitar pop,0.38,0.67,0.87,relaxed
Only you,The Alan Parsons Project,Indie guitar pop,0.72,0.98,0.72,relaxed
The adults are talking,The Strokes,Indie guitar pop,0.81,0.52,0.88,happy
Someday,The Strokes,Indie guitar pop,0.39,0.84,0.41,happy
You only live once,The Strokes,Indie guitar pop,0.75,0.37,0.86,happy
Reptilia,The Strokes,Indie guitar pop,0.38,0.67,0.87,happy
Bette davis eyes,Kim Carnes,Indie guitar pop,0.75,0.37,0.86,happy
"Yes sir, I can boogie",Baccara,Pop,0.38,0.67,0.87,happy
